area_sqft,bhk,bathrooms,balconies,parking,age_years,floor,total_floors,property_type,furnishing,availability,location,amenities_score,distance_to_center_km,nearby_schools,nearby_hospitals,price
1751,3,4,0.0,2.0,0,6,10,Apartment,Semi-Furnished,Under Construction,HSR Layout,4.4,11.3,2.0,1,17600000
1123,2,3,2.0,2.0,4,2,20,Apartment,Unfurnished,Ready to Move,Marathahalli,5.8,11.4,5.0,1,6570000
1410,3,4,3.0,2.0,6,1,10,Villa,Unfurnished,Under Construction,Electronic City,1.6,23.3,3.0,3,7740000
564,1,2,1.0,2.0,1,5,5,Apartment,Unfurnished,Under Construction,Sarjapur Road,1.7,17.9,3.0,1,2090000
1398,4,5,0.0,0.0,1,19,25,Villa,Semi-Furnished,Ready to Move,Koramangala,8.2,8.7,2.0,3,26440000
2488,5,6,1.0,2.0,5,19,20,Apartment,Furnished,Ready to Move,Banashankari,4.3,8.8,2.0,5,25450000
1048,2,3,0.0,1.0,3,9,10,Apartment,Semi-Furnished,Ready to Move,Indiranagar,8.4,6.5,3.0,5,17600000
598,1,1,2.0,2.0,4,4,5,Apartment,Unfurnished,Ready to Move,HSR Layout,9.8,8.7,2.0,5,5970000
1182,2,3,1.0,1.0,4,1,5,Apartment,Unfurnished,Ready to Move,Whitefield,2.8,20.9,1.0,3,8050000
1366,3,4,2.0,1.0,1,13,15,Independent House,Semi-Furnished,Ready to Move,Koramangala,8.7,5.4,1.0,0,24110000
1011,3,4,1.0,1.0,1,3,3,Villa,Unfurnished,Ready to Move,Jayanagar,6.8,4.9,5.0,2,14420000
1695,3,4,1.0,0.0,15,1,10,Independent House,Semi-Furnished,Ready to Move,Electronic City,4.8,20.7,6.0,4,11870000
1222,2,3,1.0,1.0,1,3,10,Apartment,Unfurnished,Ready to Move,Hebbal,3.8,9.6,1.0,2,9030000
1651,3,4,2.0,1.0,8,1,5,Apartment,Semi-Furnished,Ready to Move,Indiranagar,8.3,4.8,6.0,3,25080000
1354,3,3,2.0,0.0,4,6,15,Apartment,Semi-Furnished,Under Construction,HSR Layout,6.5,8.0,4.0,1,12540000
1148,2,2,1.0,2.0,27,1,15,Apartment,Furnished,Under Construction,Marathahalli,1.8,14.9,0.0,2,5940000
2360,3,3,1.0,2.0,0,2,7,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.0,15.6,3.0,4,20010000
971,2,2,0.0,2.0,14,9,10,Villa,Unfurnished,Ready to Move,Koramangala,8.0,3.6,5.0,0,15190000
1032,3,3,0.0,2.0,5,11,15,Independent House,Furnished,Ready to Move,Koramangala,10.0,1.2,4.0,1,19410000
1765,4,4,2.0,1.0,0,1,10,Apartment,Unfurnished,Ready to Move,Whitefield,3.8,23.4,2.0,2,13070000
1068,2,2,1.0,1.0,2,4,10,Independent House,Semi-Furnished,Under Construction,Sarjapur Road,3.3,18.1,4.0,2,7350000
1358,4,5,1.0,0.0,4,6,7,Apartment,Unfurnished,Under Construction,Marathahalli,5.7,14.0,4.0,2,7490000
1447,3,3,2.0,2.0,3,2,5,Independent House,Unfurnished,Ready to Move,Indiranagar,8.4,6.8,2.0,1,23770000
1022,2,3,1.0,2.0,3,17,25,Apartment,Semi-Furnished,Under Construction,Hebbal,6.2,17.3,3.0,3,7600000
1829,3,4,1.0,1.0,19,4,10,Apartment,Unfurnished,Under Construction,Hebbal,9.0,12.2,4.0,2,11360000
1766,3,3,1.0,2.0,3,3,7,Apartment,Semi-Furnished,Ready to Move,Marathahalli,3.1,9.5,1.0,1,13200000
1114,2,2,2.0,1.0,4,7,15,Independent House,Semi-Furnished,Under Construction,Hebbal,4.7,15.5,4.0,1,9660000
539,2,3,2.0,1.0,11,7,10,Apartment,Furnished,Ready to Move,HSR Layout,6.9,5.9,4.0,2,6540000
1125,2,3,0.0,2.0,12,4,5,Apartment,Semi-Furnished,Ready to Move,Whitefield,6.6,18.5,2.0,2,9060000
627,1,1,2.0,1.0,0,14,20,Independent House,Semi-Furnished,Ready to Move,HSR Layout,6.2,13.6,5.0,1,7890000
578,1,1,1.0,1.0,9,2,3,Apartment,Furnished,Ready to Move,Whitefield,5.4,19.0,2.0,5,4770000
621,2,2,2.0,1.0,5,7,10,Apartment,Unfurnished,Under Construction,Jayanagar,7.2,4.3,2.0,2,5400000
802,2,2,3.0,1.0,1,9,10,Apartment,Furnished,Under Construction,Yelahanka,2.9,16.8,5.0,4,4370000
1533,4,4,2.0,1.0,2,1,7,Apartment,Furnished,Ready to Move,Whitefield,3.7,20.0,2.0,1,14370000
567,2,2,2.0,1.0,0,4,15,Independent House,Furnished,Ready to Move,Koramangala,7.1,1.9,0.0,1,10640000
1399,3,4,0.0,1.0,3,9,10,Independent House,Semi-Furnished,Ready to Move,Indiranagar,10.0,7.6,2.0,3,27260000
1176,3,4,2.0,1.0,2,15,15,Apartment,Semi-Furnished,Under Construction,Yelahanka,0.7,19.7,2.0,3,4810000
2135,3,4,2.0,1.0,3,3,7,Independent House,Semi-Furnished,Ready to Move,Electronic City,1.2,26.2,6.0,2,14930000
917,2,3,1.0,2.0,6,7,20,Apartment,Unfurnished,Under Construction,Jayanagar,7.0,7.7,2.0,5,7470000
2517,4,5,2.0,0.0,10,6,7,Apartment,Unfurnished,Under Construction,Whitefield,4.6,17.9,3.0,2,16530000
960,3,4,2.0,0.0,7,9,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,8.6,1.0,8.0,2,13410000
1787,4,4,1.0,0.0,9,4,20,Apartment,Semi-Furnished,Ready to Move,Banashankari,3.4,1.0,5.0,2,13170000
968,2,2,0.0,2.0,16,1,3,Apartment,Unfurnished,Ready to Move,Banashankari,3.1,11.1,3.0,2,6580000
777,2,3,2.0,1.0,16,5,5,Independent House,Semi-Furnished,Ready to Move,Whitefield,3.9,20.6,2.0,1,6130000
1281,3,4,2.0,2.0,15,17,25,Independent House,Unfurnished,Ready to Move,Banashankari,6.0,6.7,0.0,1,10570000
526,1,1,2.0,1.0,1,25,25,Apartment,Semi-Furnished,Under Construction,Marathahalli,2.5,8.2,3.0,1,2380000
1334,3,3,2.0,1.0,2,14,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,5.2,8.5,5.0,4,13290000
1302,2,3,2.0,2.0,5,5,10,Villa,Unfurnished,Ready to Move,Indiranagar,7.9,1.0,3.0,3,23890000
1505,3,3,2.0,0.0,3,2,10,Independent House,Unfurnished,Ready to Move,Jayanagar,4.4,10.3,2.0,1,17460000
3068,5,5,0.0,1.0,1,4,7,Independent House,Unfurnished,Under Construction,Indiranagar,6.7,6.9,1.0,2,45840000
1551,3,4,2.0,1.0,2,2,7,Apartment,Unfurnished,Ready to Move,Marathahalli,5.4,10.1,6.0,1,11020000
2245,4,4,1.0,1.0,29,3,7,Independent House,Semi-Furnished,Under Construction,Koramangala,7.1,8.9,6.0,3,28550000
1376,3,4,1.0,1.0,3,2,3,Apartment,Furnished,Ready to Move,Whitefield,6.2,17.8,6.0,1,14160000
1310,3,4,1.0,0.0,4,3,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,3.3,23.0,3.0,3,8090000
2066,4,4,1.0,0.0,0,2,10,Apartment,Furnished,Under Construction,Sarjapur Road,1.6,19.1,2.0,0,13810000
2462,4,4,1.0,1.0,10,10,10,Apartment,Furnished,Ready to Move,HSR Layout,7.0,9.7,1.0,2,34270000
1715,3,3,1.0,2.0,4,4,10,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.8,13.1,1.0,5,10760000
904,2,2,1.0,0.0,0,17,20,Apartment,Unfurnished,Under Construction,Banashankari,4.1,8.1,3.0,5,6010000
1614,3,4,0.0,1.0,27,1,7,Apartment,Furnished,Under Construction,Whitefield,6.0,19.2,4.0,3,10180000
913,2,2,1.0,0.0,12,5,7,Villa,Semi-Furnished,Ready to Move,Marathahalli,2.1,14.7,2.0,1,7160000
956,2,2,2.0,1.0,10,10,10,Apartment,Furnished,Ready to Move,Indiranagar,8.0,5.9,5.0,3,15560000
1267,3,3,2.0,1.0,25,1,5,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.4,10.4,5.0,3,9540000
1927,4,4,2.0,2.0,4,4,7,Apartment,Furnished,Under Construction,Koramangala,6.2,7.3,3.0,3,28940000
2536,4,4,1.0,2.0,10,5,10,Independent House,Furnished,Under Construction,Sarjapur Road,3.0,15.5,2.0,4,17880000
967,2,3,2.0,1.0,1,6,7,Apartment,Furnished,Ready to Move,Hebbal,3.7,13.2,4.0,2,8930000
564,1,1,1.0,0.0,9,9,20,Apartment,Semi-Furnished,Ready to Move,Yelahanka,2.6,15.0,3.0,2,2230000
1421,4,4,0.0,0.0,0,3,10,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,4.6,15.4,1.0,5,10320000
891,2,2,2.0,2.0,1,4,5,Independent House,Furnished,Ready to Move,Jayanagar,5.5,5.2,4.0,2,13840000
1332,3,4,2.0,1.0,4,4,10,Independent House,Furnished,Under Construction,Marathahalli,1.8,12.0,1.0,3,10740000
458,1,1,2.0,0.0,0,2,15,Apartment,Semi-Furnished,Under Construction,Hebbal,6.0,14.0,0.0,2,3550000
954,2,3,2.0,0.0,4,4,10,Apartment,Semi-Furnished,Under Construction,Marathahalli,2.9,13.7,1.0,3,4940000
2559,5,5,1.0,1.0,5,8,20,Independent House,Semi-Furnished,Ready to Move,Whitefield,7.1,24.1,2.0,2,23220000
965,2,3,2.0,1.0,7,2,15,Apartment,Unfurnished,Under Construction,Yelahanka,2.4,13.1,4.0,0,3650000
973,2,2,2.0,2.0,0,3,3,Villa,Unfurnished,Under Construction,Sarjapur Road,3.5,11.4,3.0,2,6290000
768,2,3,2.0,1.0,1,1,5,Apartment,Unfurnished,Ready to Move,Marathahalli,0.5,15.2,1.0,1,4880000
1840,4,5,2.0,1.0,7,2,10,Apartment,Furnished,Under Construction,HSR Layout,4.6,15.2,5.0,2,20640000
2030,4,5,1.0,1.0,8,4,5,Apartment,Semi-Furnished,Ready to Move,Marathahalli,0.6,15.5,3.0,1,13340000
1175,2,2,0.0,1.0,0,9,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,3.8,19.2,2.0,5,6520000
578,1,2,1.0,1.0,6,6,15,Villa,Furnished,Under Construction,Marathahalli,3.9,10.9,2.0,2,5110000
1214,3,4,0.0,1.0,12,9,10,Independent House,Unfurnished,Ready to Move,Whitefield,5.3,26.1,4.0,5,8980000
1025,2,2,1.0,1.0,0,1,7,Apartment,Unfurnished,Under Construction,Marathahalli,5.2,12.9,5.0,0,5730000
1878,3,3,1.0,1.0,4,7,10,Independent House,Furnished,Ready to Move,Banashankari,6.1,5.0,7.0,2,19770000
650,1,2,3.0,2.0,3,2,5,Apartment,Semi-Furnished,Under Construction,Whitefield,4.0,23.6,6.0,4,3730000
1054,2,2,2.0,0.0,19,10,15,Apartment,Unfurnished,Ready to Move,Banashankari,4.8,7.6,5.0,1,5950000
1603,3,4,2.0,1.0,1,7,10,Apartment,Furnished,Under Construction,Electronic City,4.2,15.9,0.0,1,9250000
1223,2,2,0.0,1.0,3,6,10,Independent House,Furnished,Ready to Move,Yelahanka,1.8,22.2,3.0,1,8530000
2430,4,4,1.0,1.0,18,7,7,Independent House,Furnished,Ready to Move,Hebbal,3.6,13.8,3.0,3,23470000
612,1,2,2.0,0.0,3,6,15,Villa,Unfurnished,Ready to Move,Jayanagar,9.0,1.5,6.0,3,7170000
1153,2,2,0.0,1.0,6,3,10,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.0,22.2,2.0,0,8300000
2194,5,6,2.0,0.0,0,1,3,Villa,Semi-Furnished,Under Construction,Yelahanka,3.8,12.9,2.0,1,15150000
664,2,3,3.0,0.0,33,19,20,Independent House,Semi-Furnished,Ready to Move,Electronic City,3.8,18.7,2.0,2,3340000
1443,3,4,1.0,1.0,13,6,15,Villa,Unfurnished,Ready to Move,Electronic City,1.6,19.3,5.0,2,8200000
963,2,3,2.0,1.0,8,3,10,Independent House,Unfurnished,Ready to Move,Marathahalli,3.0,19.8,5.0,0,6490000
1247,3,4,0.0,2.0,0,4,7,Apartment,Semi-Furnished,Ready to Move,Hebbal,4.5,18.1,4.0,2,10210000
1631,3,3,2.0,1.0,0,2,25,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,,16.4,5.0,3,9420000
596,2,3,0.0,1.0,6,11,15,Apartment,Unfurnished,Under Construction,Hebbal,5.5,17.1,6.0,4,3850000
1786,4,4,1.0,1.0,2,4,10,Apartment,Furnished,Ready to Move,Indiranagar,8.6,1.0,4.0,0,35350000
1264,3,3,2.0,1.0,7,9,10,Apartment,Semi-Furnished,Under Construction,Hebbal,5.3,14.7,3.0,0,10610000
639,2,2,2.0,0.0,7,1,7,Apartment,Semi-Furnished,Under Construction,Koramangala,9.0,8.1,0.0,2,7060000
1818,3,4,2.0,1.0,14,5,5,Villa,Semi-Furnished,Ready to Move,Jayanagar,7.6,10.5,4.0,4,27680000
1019,3,3,1.0,1.0,2,2,7,Apartment,Semi-Furnished,Under Construction,Whitefield,6.6,20.2,4.0,1,6500000
838,2,2,2.0,1.0,6,6,7,Apartment,Semi-Furnished,Under Construction,Electronic City,4.9,23.7,1.0,3,4600000
1122,2,3,2.0,2.0,12,9,15,Apartment,Unfurnished,Ready to Move,Electronic City,3.4,19.8,5.0,2,5740000
1072,2,2,3.0,2.0,5,2,5,Independent House,Unfurnished,Under Construction,Electronic City,4.3,22.1,2.0,3,5320000
739,2,3,2.0,2.0,14,11,15,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,4.3,17.5,2.0,3,4200000
1591,3,4,2.0,2.0,1,3,10,Apartment,Furnished,Ready to Move,Electronic City,3.6,21.3,1.0,1,11350000
1481,3,3,2.0,1.0,10,1,7,Villa,Unfurnished,Ready to Move,Indiranagar,7.4,8.4,4.0,1,25150000
2933,4,4,2.0,1.0,22,1,7,Villa,Semi-Furnished,Ready to Move,HSR Layout,6.6,10.6,0.0,1,35970000
1026,2,3,0.0,1.0,3,2,10,Apartment,Unfurnished,Ready to Move,Electronic City,0.2,27.1,4.0,3,5050000
923,2,2,1.0,2.0,3,2,7,Apartment,Semi-Furnished,Under Construction,HSR Layout,7.9,10.7,3.0,4,9150000
1160,3,3,2.0,1.0,0,6,7,Apartment,Unfurnished,Ready to Move,Whitefield,4.9,26.6,5.0,0,8040000
1191,3,3,2.0,1.0,8,13,15,Independent House,Furnished,Ready to Move,Marathahalli,3.8,17.7,3.0,2,11070000
1168,3,3,2.0,0.0,6,6,10,Apartment,Semi-Furnished,Under Construction,Marathahalli,3.4,13.7,3.0,0,6030000
700,1,1,1.0,1.0,0,15,15,Apartment,Unfurnished,Ready to Move,Marathahalli,5.0,14.5,2.0,2,4410000
953,2,2,0.0,1.0,11,11,15,Apartment,Semi-Furnished,Ready to Move,Indiranagar,10.0,2.5,2.0,1,14150000
1057,2,3,1.0,1.0,14,8,15,Apartment,Unfurnished,Under Construction,Electronic City,3.9,22.5,2.0,1,3960000
3647,5,5,1.0,2.0,19,4,5,Independent House,Unfurnished,Under Construction,Hebbal,7.9,9.1,0.0,3,25860000
501,2,3,1.0,0.0,6,4,25,Apartment,Unfurnished,Ready to Move,Jayanagar,7.8,10.0,3.0,2,5100000
2511,4,4,3.0,2.0,4,3,10,Apartment,Furnished,Ready to Move,Indiranagar,7.5,4.0,3.0,5,45530000
1415,3,3,0.0,0.0,16,13,15,Apartment,Unfurnished,Under Construction,Whitefield,5.1,21.1,3.0,2,7980000
1032,2,3,1.0,2.0,4,2,10,Apartment,Furnished,Ready to Move,Electronic City,3.9,15.2,5.0,0,7180000
1168,3,4,1.0,1.0,8,1,10,Apartment,Unfurnished,Ready to Move,Electronic City,2.1,21.2,2.0,2,6620000
1697,4,5,3.0,1.0,7,8,25,Independent House,Unfurnished,Ready to Move,Electronic City,2.7,20.9,1.0,5,9010000
2195,4,5,2.0,0.0,3,5,5,Independent House,Furnished,Under Construction,Marathahalli,3.4,16.8,1.0,8,19630000
1403,2,3,1.0,1.0,0,7,7,Independent House,Semi-Furnished,Ready to Move,Jayanagar,6.8,7.6,1.0,3,18110000
1140,2,2,3.0,2.0,0,5,5,Independent House,Semi-Furnished,Ready to Move,Marathahalli,3.6,17.1,2.0,3,9900000
1190,2,3,1.0,0.0,4,3,5,Villa,Semi-Furnished,Ready to Move,Sarjapur Road,4.1,19.3,5.0,0,9510000
528,1,2,1.0,0.0,5,2,15,Apartment,Unfurnished,Ready to Move,Hebbal,5.6,15.7,3.0,4,4080000
1231,3,4,2.0,1.0,13,3,3,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,5.6,19.3,8.0,0,9030000
1687,4,5,1.0,0.0,4,12,20,Independent House,Semi-Furnished,Ready to Move,Banashankari,5.5,3.9,2.0,2,18410000
857,2,3,2.0,0.0,2,6,10,Independent House,Unfurnished,Under Construction,Whitefield,3.3,19.7,5.0,3,5630000
825,3,3,3.0,1.0,4,7,7,Apartment,Furnished,Under Construction,Koramangala,10.0,3.9,5.0,1,11760000
1197,3,4,2.0,1.0,2,6,7,Apartment,Semi-Furnished,Under Construction,Whitefield,3.3,10.2,1.0,0,9770000
843,2,3,1.0,1.0,0,4,5,Independent House,Unfurnished,Ready to Move,Marathahalli,3.4,11.0,0.0,1,6270000
916,2,3,1.0,2.0,0,1,20,Villa,Semi-Furnished,Ready to Move,Yelahanka,3.9,22.1,6.0,1,6230000
1436,3,4,0.0,1.0,3,10,15,Independent House,Furnished,Ready to Move,HSR Layout,10.0,9.2,3.0,1,21870000
2144,4,4,1.0,0.0,0,1,7,Apartment,Semi-Furnished,Ready to Move,Yelahanka,3.6,15.7,1.0,3,12540000
1395,3,4,0.0,1.0,1,1,3,Apartment,Semi-Furnished,Under Construction,Whitefield,3.4,13.5,3.0,4,7830000
486,1,2,1.0,1.0,12,5,7,Apartment,Furnished,Ready to Move,Yelahanka,0.5,12.0,5.0,3,2170000
576,2,3,2.0,1.0,2,3,5,Independent House,Semi-Furnished,Under Construction,Electronic City,0.8,23.5,5.0,2,3230000
486,1,1,2.0,1.0,0,9,15,Apartment,Semi-Furnished,Under Construction,Whitefield,,18.6,3.0,3,2540000
1127,3,4,0.0,2.0,23,14,15,Apartment,Unfurnished,Under Construction,Indiranagar,9.5,1.7,,1,11800000
1530,3,3,1.0,1.0,7,9,10,Independent House,Semi-Furnished,Ready to Move,HSR Layout,4.2,13.9,1.0,4,19500000
1122,2,3,1.0,0.0,0,6,20,Apartment,Semi-Furnished,Ready to Move,HSR Layout,6.7,7.9,2.0,3,13030000
2375,4,4,0.0,1.0,0,4,5,Independent House,Furnished,Ready to Move,Electronic City,1.4,18.1,6.0,5,21320000
1611,3,4,1.0,1.0,7,1,10,Apartment,Unfurnished,Ready to Move,Hebbal,3.6,12.1,4.0,2,12760000
1362,3,3,1.0,2.0,6,10,15,Independent House,Unfurnished,Under Construction,Jayanagar,7.6,3.6,4.0,2,13370000
2507,5,5,2.0,2.0,0,1,3,Apartment,Unfurnished,Ready to Move,Electronic City,2.2,19.6,3.0,3,13620000
467,1,2,2.0,1.0,2,2,7,Independent House,Semi-Furnished,Ready to Move,Marathahalli,6.0,13.8,3.0,2,3540000
1397,4,4,1.0,1.0,21,2,10,Independent House,Unfurnished,Ready to Move,Sarjapur Road,2.8,16.1,3.0,3,9200000
1138,2,3,2.0,1.0,6,4,7,Apartment,Furnished,Under Construction,HSR Layout,8.0,5.0,1.0,4,13160000
916,2,3,0.0,1.0,4,1,10,Apartment,Furnished,Ready to Move,Electronic City,6.7,23.7,3.0,1,5980000
1501,4,5,2.0,1.0,2,5,10,Apartment,Semi-Furnished,Under Construction,Koramangala,6.9,6.6,4.0,2,16850000
1669,4,4,1.0,1.0,1,5,7,Villa,Unfurnished,Ready to Move,Koramangala,10.0,3.2,3.0,0,33530000
1157,3,4,1.0,1.0,4,1,5,Independent House,Semi-Furnished,Under Construction,Sarjapur Road,3.7,19.9,2.0,2,7280000
1412,3,3,0.0,1.0,20,5,5,Apartment,Furnished,Ready to Move,Koramangala,7.1,2.9,1.0,4,19660000
1698,3,4,1.0,1.0,0,7,10,Villa,Unfurnished,Ready to Move,Jayanagar,6.2,1.0,2.0,0,26390000
1860,4,5,2.0,1.0,37,3,5,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,3.1,20.7,4.0,4,7490000
522,2,2,3.0,1.0,1,11,20,Independent House,Semi-Furnished,Under Construction,Whitefield,6.4,19.7,3.0,2,4140000
1924,4,4,2.0,1.0,4,13,15,Independent House,Furnished,Ready to Move,Jayanagar,8.6,6.5,1.0,0,33670000
1356,3,3,1.0,1.0,0,6,7,Apartment,Unfurnished,Under Construction,HSR Layout,8.3,9.7,5.0,0,14950000
1337,3,4,2.0,1.0,7,2,15,Apartment,Unfurnished,Ready to Move,Banashankari,2.7,7.5,3.0,1,8960000
830,2,2,2.0,0.0,5,9,10,Apartment,Semi-Furnished,Under Construction,Indiranagar,9.0,5.4,2.0,0,11540000
1460,3,4,2.0,0.0,8,2,5,Apartment,Semi-Furnished,Ready to Move,Hebbal,2.7,12.5,4.0,0,10730000
2026,4,5,2.0,1.0,6,2,10,Apartment,Semi-Furnished,Ready to Move,Jayanagar,8.2,9.8,5.0,0,25390000
1393,3,4,2.0,0.0,4,1,10,Apartment,Unfurnished,Ready to Move,Whitefield,3.6,21.3,0.0,1,8780000
3031,5,6,2.0,1.0,10,1,3,Apartment,Semi-Furnished,Ready to Move,Marathahalli,4.8,17.5,4.0,4,22440000
868,2,2,2.0,1.0,0,4,7,Apartment,Semi-Furnished,Ready to Move,Banashankari,3.9,12.5,1.0,2,7160000
1263,3,4,0.0,0.0,6,3,3,Apartment,Semi-Furnished,Ready to Move,Marathahalli,1.4,9.2,7.0,1,9280000
2552,4,5,1.0,2.0,0,4,7,Apartment,Furnished,Ready to Move,Hebbal,6.3,15.8,2.0,1,29760000
1556,3,4,2.0,1.0,4,5,7,Apartment,Furnished,Ready to Move,Yelahanka,4.4,18.0,3.0,3,8870000
1631,3,3,2.0,1.0,12,6,10,Independent House,Furnished,Ready to Move,HSR Layout,6.5,11.5,3.0,2,20360000
1743,3,3,1.0,1.0,1,5,5,Villa,Furnished,Under Construction,HSR Layout,3.2,13.0,2.0,2,24980000
2210,4,4,3.0,0.0,21,1,3,Apartment,Semi-Furnished,Under Construction,Marathahalli,5.1,13.2,3.0,6,12900000
2371,4,4,1.0,1.0,17,6,7,Apartment,Unfurnished,Ready to Move,Electronic City,2.2,23.8,5.0,1,12220000
649,2,2,1.0,2.0,4,4,15,Independent House,Semi-Furnished,Ready to Move,Hebbal,5.8,8.8,4.0,0,6470000
2081,4,4,1.0,0.0,0,6,7,Independent House,Unfurnished,Ready to Move,Yelahanka,2.3,11.8,3.0,4,11390000
915,2,3,3.0,1.0,12,1,7,Apartment,Unfurnished,Under Construction,Electronic City,2.8,23.6,2.0,3,3600000
1268,2,2,1.0,2.0,17,5,10,Apartment,Semi-Furnished,Under Construction,HSR Layout,7.1,9.8,4.0,2,10060000
2371,4,5,1.0,1.0,1,9,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.8,12.0,6.0,2,23010000
830,2,2,1.0,1.0,19,4,10,Apartment,Semi-Furnished,Under Construction,HSR Layout,6.1,7.6,2.0,1,7050000
2149,4,5,1.0,1.0,19,1,3,Apartment,Furnished,Ready to Move,Hebbal,5.8,13.2,4.0,2,22490000
981,2,3,2.0,2.0,5,5,5,Apartment,Furnished,Ready to Move,Indiranagar,10.0,3.7,6.0,2,19270000
599,1,2,1.0,1.0,12,1,5,Villa,Semi-Furnished,Ready to Move,Marathahalli,3.9,13.9,6.0,3,3890000
1114,3,4,2.0,2.0,4,4,10,Apartment,Semi-Furnished,Ready to Move,Whitefield,5.6,18.5,1.0,3,9600000
1018,2,2,3.0,1.0,6,1,3,Apartment,Unfurnished,Under Construction,Marathahalli,2.2,11.6,4.0,4,5280000
1336,3,4,0.0,2.0,3,7,7,Apartment,Furnished,Under Construction,Indiranagar,10.0,4.4,4.0,3,22700000
1003,2,2,2.0,2.0,1,4,10,Apartment,Unfurnished,Under Construction,Marathahalli,2.8,17.6,2.0,2,5560000
812,2,2,1.0,1.0,10,2,7,Apartment,Furnished,Ready to Move,Koramangala,7.8,2.6,3.0,5,12430000
485,1,1,1.0,1.0,0,3,15,Apartment,Furnished,Ready to Move,Sarjapur Road,4.4,17.6,2.0,1,3510000
1173,2,2,2.0,1.0,6,4,7,Independent House,Semi-Furnished,Ready to Move,Hebbal,3.8,11.2,1.0,0,10850000
1105,3,3,2.0,2.0,16,8,25,Apartment,Furnished,Ready to Move,HSR Layout,8.0,8.1,1.0,7,14450000
764,2,3,1.0,2.0,2,14,25,Villa,Semi-Furnished,Ready to Move,Whitefield,3.3,23.7,2.0,1,9240000
1385,3,3,0.0,0.0,3,1,15,Independent House,Furnished,Under Construction,Whitefield,5.6,15.9,1.0,0,11340000
1691,4,5,3.0,1.0,7,2,25,Apartment,Semi-Furnished,Ready to Move,Marathahalli,5.6,13.7,1.0,2,11450000
1152,3,4,2.0,2.0,2,4,5,Apartment,Semi-Furnished,Under Construction,Marathahalli,4.9,11.5,1.0,2,7570000
2042,4,4,1.0,1.0,15,11,15,Apartment,Unfurnished,Ready to Move,Jayanagar,7.7,7.7,1.0,1,19040000
664,2,2,1.0,1.0,3,5,7,Independent House,Semi-Furnished,Under Construction,HSR Layout,10.0,10.4,3.0,4,7600000
758,2,3,0.0,0.0,6,6,15,Independent House,Furnished,Under Construction,Electronic City,4.0,25.5,0.0,1,5130000
2821,4,4,1.0,1.0,2,3,7,Villa,Furnished,Ready to Move,Marathahalli,4.2,16.2,4.0,2,31950000
1528,3,3,1.0,2.0,0,7,7,Apartment,Furnished,Ready to Move,Jayanagar,7.2,6.2,2.0,2,20710000
1190,3,4,1.0,2.0,1,3,25,Villa,Unfurnished,Under Construction,Banashankari,6.6,10.2,5.0,5,11770000
1517,3,3,1.0,1.0,0,4,5,Apartment,Semi-Furnished,Under Construction,Koramangala,10.0,6.5,2.0,2,21250000
1057,2,2,2.0,1.0,5,5,15,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,3.4,15.3,4.0,3,6640000
659,1,1,1.0,2.0,7,5,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,2.0,24.3,3.0,1,3620000
1364,3,3,2.0,2.0,0,3,7,Apartment,Semi-Furnished,Ready to Move,Indiranagar,10.0,5.9,3.0,1,24960000
1673,3,3,1.0,,0,4,10,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.6,19.5,4.0,4,12720000
829,3,3,1.0,0.0,5,5,5,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,4.1,16.8,0.0,1,4740000
1577,4,4,1.0,1.0,12,3,20,Apartment,Semi-Furnished,Ready to Move,Banashankari,5.1,5.4,1.0,2,13050000
981,2,2,2.0,2.0,7,10,25,Apartment,Semi-Furnished,Under Construction,Koramangala,7.8,1.0,1.0,0,12270000
1012,2,3,1.0,1.0,0,3,15,Independent House,Semi-Furnished,Under Construction,Whitefield,4.3,9.8,3.0,4,7720000
1635,4,4,0.0,2.0,17,8,15,Villa,Unfurnished,Under Construction,Sarjapur Road,1.2,15.9,4.0,1,10500000
1472,3,4,0.0,1.0,19,3,3,Apartment,Furnished,Ready to Move,Marathahalli,2.7,21.3,3.0,1,9280000
1225,3,3,1.0,2.0,3,6,7,Apartment,Unfurnished,Ready to Move,HSR Layout,7.7,12.5,1.0,1,14160000
897,2,2,1.0,2.0,7,7,7,Apartment,Semi-Furnished,Under Construction,Whitefield,1.3,21.0,1.0,4,5760000
1144,2,3,2.0,1.0,5,7,10,Independent House,Unfurnished,Ready to Move,Whitefield,4.2,22.9,3.0,3,8300000
