area_sqft,bhk,bathrooms,balconies,parking,age_years,floor,total_floors,property_type,furnishing,availability,location,amenities_score,distance_to_center_km,nearby_schools,nearby_hospitals,price,property_type_encoded,furnishing_encoded,availability_encoded,location_encoded
434.0,1,2,0,1,9,2,3,Independent House,Semi-Furnished,Ready to Move,HSR Layout,8.5,8.4,3,2,4960000,1,1,0,2
1141.0,3,4,1,1,24,4,7,Apartment,Furnished,Under Construction,Koramangala,9.9,6.5,3,3,12280000,0,0,1,6
945.0,2,2,2,1,7,2,20,Apartment,Semi-Furnished,Ready to Move,Whitefield,2.0,21.0,0,1,6560000,0,1,0,9
1497.0,3,4,0,1,0,2,5,Villa,Semi-Furnished,Ready to Move,Marathahalli,3.2,19.9,5,2,12920000,2,1,0,7
480.0,2,3,1,1,0,7,25,Apartment,Unfurnished,Ready to Move,Sarjapur Road,3.1,18.0,2,0,2790000,0,2,0,8
1150.0,2,2,1,1,8,3,7,Independent House,Unfurnished,Ready to Move,Whitefield,2.2,16.7,2,2,7910000,1,2,0,9
856.0,2,2,1,1,8,14,15,Apartment,Unfurnished,Ready to Move,Yelahanka,2.6,8.5,4,0,4290000,0,2,0,10
1027.0,3,4,1,1,11,2,7,Apartment,Furnished,Under Construction,Whitefield,5.2,17.2,0,0,6950000,0,0,1,9
1128.0,2,3,2,1,0,4,5,Independent House,Furnished,Ready to Move,Jayanagar,6.0,7.1,3,2,18320000,1,0,0,5
547.0,1,1,2,1,23,7,7,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,1.1,19.9,4,5,2310000,0,1,1,8
683.0,1,1,2,1,6,6,10,Apartment,Unfurnished,Ready to Move,Yelahanka,4.2,14.2,3,1,2820000,0,2,0,10
2712.875,4,5,3,1,8,4,7,Apartment,Furnished,Ready to Move,Sarjapur Road,2.5,16.7,5,2,24450000,0,0,0,8
949.0,2,2,0,1,0,9,10,Apartment,Furnished,Under Construction,Hebbal,4.0,12.2,4,3,8370000,0,0,1,3
1357.0,3,3,1,1,24,5,5,Apartment,Furnished,Ready to Move,Electronic City,5.9,23.1,6,2,7550000,0,0,0,1
603.0,1,1,1,1,6,2,7,Independent House,Semi-Furnished,Ready to Move,Hebbal,5.6,15.1,2,0,5450000,1,1,0,3
871.0,2,3,1,1,6,7,10,Apartment,Semi-Furnished,Ready to Move,Whitefield,3.1,18.2,4,6,7500000,0,1,0,9
1161.0,3,4,1,1,22,2,7,Apartment,Semi-Furnished,Ready to Move,Yelahanka,1.2,13.8,3,2,4960000,0,1,0,10
1570.0,3,4,1,1,21,4,5,Villa,Unfurnished,Ready to Move,Jayanagar,8.1,12.1,3,0,20600000,2,2,0,5
2712.875,4,5,0,1,1,2,10,Apartment,Semi-Furnished,Under Construction,Hebbal,6.3,17.3,3,2,22980000,0,1,1,3
2013.0,4,5,1,1,21,8,10,Apartment,Semi-Furnished,Under Construction,Indiranagar,7.9,3.4,5,1,24830000,0,1,1,4
1705.0,3,3,3,1,10,14,25,Independent House,Semi-Furnished,Ready to Move,Marathahalli,2.1,17.4,3,3,14210000,1,1,0,7
1368.0,3,3,1,1,0,14,15,Villa,Semi-Furnished,Ready to Move,Jayanagar,7.2,12.6,7,6,23650000,2,1,0,5
1404.0,3,4,0,1,2,4,5,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,4.6,22.0,6,2,11100000,0,1,0,8
836.0,2,2,2,1,4,1,7,Villa,Semi-Furnished,Ready to Move,Whitefield,3.8,17.7,2,4,7410000,2,1,0,9
2172.0,4,4,1,1,6,2,3,Apartment,Unfurnished,Ready to Move,Whitefield,2.7,20.3,2,3,17610000,0,2,0,9
1497.0,3,3,1,1,9,2,5,Villa,Furnished,Ready to Move,HSR Layout,6.4,4.7,6,2,24670000,2,0,0,2
1652.0,3,3,1,1,1,6,7,Apartment,Semi-Furnished,Ready to Move,Koramangala,8.7,1.1,3,1,25810000,0,1,0,6
839.0,2,3,2,1,14,1,5,Apartment,Semi-Furnished,Under Construction,Yelahanka,2.3,16.0,2,2,3400000,0,1,1,10
499.0,1,2,2,1,14,1,5,Apartment,Semi-Furnished,Ready to Move,HSR Layout,6.7,10.7,2,0,4720000,0,1,0,2
2316.0,4,5,2,1,8,5,5,Apartment,Furnished,Ready to Move,Banashankari,5.2,5.9,3,2,25280000,0,0,0,0
997.0,2,3,1,1,20,7,7,Apartment,Semi-Furnished,Under Construction,Electronic City,5.1,13.7,2,3,4460000,0,1,1,1
777.0,2,3,1,1,13,4,5,Independent House,Semi-Furnished,Ready to Move,Koramangala,7.4,4.6,3,3,11090000,1,1,0,6
1198.0,2,3,0,1,2,7,7,Apartment,Furnished,Under Construction,Hebbal,3.3,14.2,3,2,10400000,0,0,1,3
1320.0,4,4,3,1,12,1,10,Apartment,Furnished,Under Construction,Marathahalli,3.9,16.3,2,2,7100000,0,0,1,7
636.0,1,2,2,1,24,4,5,Apartment,Semi-Furnished,Under Construction,Jayanagar,9.2,5.4,5,2,4990000,0,1,1,5
1493.0,4,4,0,1,1,5,5,Apartment,Unfurnished,Ready to Move,Jayanagar,4.0,5.6,5,1,17990000,0,2,0,5
1308.0,2,3,2,1,24,2,3,Villa,Furnished,Ready to Move,Sarjapur Road,0.2,18.7,2,1,10150000,2,0,0,8
1382.0,4,4,1,1,0,7,10,Apartment,Furnished,Ready to Move,HSR Layout,6.2,11.2,5,3,21070000,0,0,0,2
1722.0,3,4,3,1,5,5,15,Apartment,Unfurnished,Ready to Move,Banashankari,4.1,7.7,3,0,12700000,0,2,0,0
934.0,2,3,2,1,11,2,3,Apartment,Semi-Furnished,Under Construction,Banashankari,4.4,1.0,0,2,6290000,0,1,1,0
1297.0,3,4,1,1,12,5,10,Villa,Semi-Furnished,Under Construction,Marathahalli,3.6,18.2,4,1,9560000,2,1,1,7
985.0,2,3,2,1,10,5,10,Apartment,Unfurnished,Under Construction,Koramangala,9.5,2.6,5,4,10050000,0,2,1,6
1070.0,2,2,1,1,6,7,10,Apartment,Unfurnished,Ready to Move,Sarjapur Road,3.6,14.3,1,2,6130000,0,2,0,8
1638.0,4,4,1,1,8,3,20,Apartment,Semi-Furnished,Under Construction,Whitefield,5.6,18.8,3,3,10680000,0,1,1,9
795.0,2,2,2,1,9,1,20,Apartment,Furnished,Ready to Move,Whitefield,0.6,20.3,2,4,6170000,0,0,0,9
1073.0,2,2,1,1,5,2,3,Apartment,Unfurnished,Under Construction,HSR Layout,5.5,8.2,4,3,9830000,0,2,1,2
625.0,2,2,0,1,7,4,7,Villa,Furnished,Ready to Move,Indiranagar,7.4,3.4,1,2,14700000,2,0,0,4
838.0,2,2,2,1,14,7,10,Villa,Furnished,Under Construction,Hebbal,1.6,11.0,5,2,8830000,2,0,1,3
2712.875,4,4,2,1,3,8,25,Independent House,Furnished,Ready to Move,Sarjapur Road,3.8,19.1,1,3,26400000,1,0,0,8
766.0,2,3,0,1,5,14,15,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,3.5,15.6,6,0,5130000,0,1,0,8
2712.875,4,6,1,1,0,1,5,Apartment,Semi-Furnished,Under Construction,Indiranagar,8.0,6.0,3,3,44690000,0,1,1,4
1765.0,4,4,2,1,9,1,7,Apartment,Semi-Furnished,Under Construction,Electronic City,3.1,17.9,5,1,8380000,0,1,1,1
1046.0,2,2,0,1,1,9,15,Independent House,Furnished,Under Construction,Electronic City,3.5,28.0,1,4,7190000,1,0,1,1
1074.0,2,2,2,1,5,7,10,Apartment,Semi-Furnished,Ready to Move,Banashankari,6.2,11.2,2,2,8890000,0,1,0,0
2451.0,4,4,0,1,1,9,10,Villa,Unfurnished,Ready to Move,Whitefield,5.3,19.2,1,6,23120000,2,2,0,9
911.0,2,2,0,1,0,4,10,Apartment,Unfurnished,Ready to Move,Hebbal,5.5,13.0,2,1,7210000,0,2,0,3
768.0,1,1,0,1,5,2,5,Apartment,Semi-Furnished,Under Construction,Marathahalli,7.5,10.5,2,2,4010000,0,1,1,7
838.0,2,2,1,1,4,14,20,Apartment,Furnished,Ready to Move,Indiranagar,7.6,6.7,2,3,15070000,0,0,0,4
1465.0,3,3,2,1,4,14,20,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,1.6,20.5,5,1,8890000,0,1,1,8
1468.0,3,3,1,1,1,2,10,Independent House,Semi-Furnished,Ready to Move,Indiranagar,10.0,5.8,1,3,27420000,1,1,0,4
736.0,2,2,1,1,23,10,10,Independent House,Unfurnished,Ready to Move,Yelahanka,5.8,18.7,6,4,3740000,1,2,0,10
895.0,2,3,2,1,0,3,10,Apartment,Furnished,Under Construction,Yelahanka,2.0,16.0,4,3,4670000,0,0,1,10
2064.0,4,5,0,1,17,3,5,Apartment,Semi-Furnished,Ready to Move,Indiranagar,10.0,4.7,2,2,33120000,0,1,0,4
1279.0,3,3,1,1,10,5,5,Independent House,Furnished,Ready to Move,HSR Layout,5.5,8.0,3,2,18870000,1,0,0,2
2083.0,3,3,0,1,1,3,3,Villa,Semi-Furnished,Ready to Move,Marathahalli,4.9,15.7,2,2,16550000,2,1,0,7
1165.0,3,3,0,1,5,1,20,Apartment,Semi-Furnished,Ready to Move,Yelahanka,4.0,13.5,2,2,6330000,0,1,0,10
1174.0,2,2,1,1,24,7,7,Apartment,Semi-Furnished,Ready to Move,HSR Layout,5.4,11.2,3,3,9780000,0,1,0,2
1639.0,3,3,1,1,8,2,3,Apartment,Unfurnished,Ready to Move,Marathahalli,6.8,14.9,4,1,10500000,0,2,0,7
947.0,2,2,1,1,1,3,10,Apartment,Unfurnished,Ready to Move,Marathahalli,6.9,18.0,1,2,5390000,0,2,0,7
785.0,2,2,2,1,4,1,3,Apartment,Unfurnished,Ready to Move,Sarjapur Road,2.1,19.8,2,3,4210000,0,2,0,8
1184.0,3,3,1,1,5,3,3,Apartment,Semi-Furnished,Under Construction,Koramangala,8.3,1.0,1,1,15460000,0,1,1,6
851.0,2,3,2,1,12,4,10,Apartment,Semi-Furnished,Under Construction,Sarjapur Road,5.0,16.0,2,2,3630000,0,1,1,8
1799.0,4,5,2,1,19,7,10,Apartment,Unfurnished,Under Construction,Yelahanka,0.2,13.9,1,1,8400000,0,2,1,10
759.0,2,2,1,1,0,6,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,8.0,1.8,7,2,12080000,0,1,0,6
1407.0,4,4,1,1,3,1,10,Independent House,Semi-Furnished,Under Construction,HSR Layout,3.9,12.9,3,2,15890000,1,1,1,2
2538.0,4,4,1,1,2,4,10,Villa,Semi-Furnished,Under Construction,Banashankari,5.7,1.4,4,5,25310000,2,1,1,0
1067.0,2,3,0,1,24,1,7,Apartment,Unfurnished,Ready to Move,Koramangala,8.1,8.3,3,2,8950000,0,2,0,6
1620.0,3,4,3,1,6,3,10,Independent House,Semi-Furnished,Under Construction,Hebbal,4.4,15.0,2,6,15360000,1,1,1,3
1061.0,2,2,2,1,16,6,7,Independent House,Semi-Furnished,Ready to Move,Jayanagar,4.3,6.6,1,1,12020000,1,1,0,5
2066.0,4,5,2,1,4,3,7,Apartment,Unfurnished,Ready to Move,HSR Layout,5.4,11.0,5,5,23190000,0,2,0,2
1808.0,3,4,2,1,10,2,7,Apartment,Semi-Furnished,Ready to Move,Yelahanka,3.8,16.2,3,0,8470000,0,1,0,10
1228.0,3,3,0,1,2,5,7,Villa,Unfurnished,Ready to Move,Indiranagar,8.6,5.5,2,1,22050000,2,2,0,4
1429.0,3,3,1,1,19,1,5,Independent House,Furnished,Under Construction,Jayanagar,8.5,9.4,5,4,17320000,1,0,1,5
1091.0,2,3,0,1,4,2,3,Independent House,Furnished,Ready to Move,Electronic City,5.0,21.3,4,1,7930000,1,0,0,1
698.0,2,2,2,1,13,3,10,Independent House,Semi-Furnished,Ready to Move,Marathahalli,5.6,15.8,3,2,4680000,1,1,0,7
1538.0,2,2,2,1,2,2,10,Villa,Semi-Furnished,Ready to Move,Koramangala,7.2,1.4,2,6,28580000,2,1,0,6
1407.0,3,3,1,1,9,2,7,Apartment,Semi-Furnished,Under Construction,Electronic City,3.8,23.6,2,2,7610000,0,1,1,1
1439.0,3,4,0,1,4,14,25,Apartment,Semi-Furnished,Ready to Move,Banashankari,3.2,7.2,2,4,10920000,0,1,0,0
1751.0,3,4,0,1,0,6,10,Apartment,Semi-Furnished,Under Construction,HSR Layout,4.4,11.3,2,1,17600000,0,1,1,2
1123.0,2,3,2,1,4,2,20,Apartment,Unfurnished,Ready to Move,Marathahalli,5.8,11.4,5,1,6570000,0,2,0,7
1410.0,3,4,3,1,6,1,10,Villa,Unfurnished,Under Construction,Electronic City,1.6,23.3,3,3,7740000,2,2,1,1
564.0,1,2,1,1,1,5,5,Apartment,Unfurnished,Under Construction,Sarjapur Road,1.7,17.9,3,1,2090000,0,2,1,8
1398.0,4,5,0,1,1,14,25,Villa,Semi-Furnished,Ready to Move,Koramangala,8.2,8.7,2,3,26440000,2,1,0,6
2488.0,4,6,1,1,5,14,20,Apartment,Furnished,Ready to Move,Banashankari,4.3,8.8,2,5,25450000,0,0,0,0
1048.0,2,3,0,1,3,9,10,Apartment,Semi-Furnished,Ready to Move,Indiranagar,8.4,6.5,3,5,17600000,0,1,0,4
598.0,1,1,2,1,4,4,5,Apartment,Unfurnished,Ready to Move,HSR Layout,9.8,8.7,2,5,5970000,0,2,0,2
1182.0,2,3,1,1,4,1,5,Apartment,Unfurnished,Ready to Move,Whitefield,2.8,20.9,1,3,8050000,0,2,0,9
1366.0,3,4,2,1,1,13,15,Independent House,Semi-Furnished,Ready to Move,Koramangala,8.7,5.4,1,0,24110000,1,1,0,6
1011.0,3,4,1,1,1,3,3,Villa,Unfurnished,Ready to Move,Jayanagar,6.8,4.9,5,2,14420000,2,2,0,5
1695.0,3,4,1,1,15,1,10,Independent House,Semi-Furnished,Ready to Move,Electronic City,4.8,20.7,6,4,11870000,1,1,0,1
1222.0,2,3,1,1,1,3,10,Apartment,Unfurnished,Ready to Move,Hebbal,3.8,9.6,1,2,9030000,0,2,0,3
1651.0,3,4,2,1,8,1,5,Apartment,Semi-Furnished,Ready to Move,Indiranagar,8.3,4.8,6,3,25080000,0,1,0,4
1354.0,3,3,2,1,4,6,15,Apartment,Semi-Furnished,Under Construction,HSR Layout,6.5,8.0,4,1,12540000,0,1,1,2
1148.0,2,2,1,1,24,1,15,Apartment,Furnished,Under Construction,Marathahalli,1.8,14.9,0,2,5940000,0,0,1,7
2360.0,3,3,1,1,0,2,7,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.0,15.6,3,4,20010000,1,1,0,8
971.0,2,2,0,1,14,9,10,Villa,Unfurnished,Ready to Move,Koramangala,8.0,3.6,5,0,15190000,2,2,0,6
1032.0,3,3,0,1,5,11,15,Independent House,Furnished,Ready to Move,Koramangala,10.0,1.2,4,1,19410000,1,0,0,6
1765.0,4,4,2,1,0,1,10,Apartment,Unfurnished,Ready to Move,Whitefield,3.8,23.4,2,2,13070000,0,2,0,9
1068.0,2,2,1,1,2,4,10,Independent House,Semi-Furnished,Under Construction,Sarjapur Road,3.3,18.1,4,2,7350000,1,1,1,8
1358.0,4,5,1,1,4,6,7,Apartment,Unfurnished,Under Construction,Marathahalli,5.7,14.0,4,2,7490000,0,2,1,7
1447.0,3,3,2,1,3,2,5,Independent House,Unfurnished,Ready to Move,Indiranagar,8.4,6.8,2,1,23770000,1,2,0,4
1022.0,2,3,1,1,3,14,25,Apartment,Semi-Furnished,Under Construction,Hebbal,6.2,17.3,3,3,7600000,0,1,1,3
1829.0,3,4,1,1,19,4,10,Apartment,Unfurnished,Under Construction,Hebbal,9.0,12.2,4,2,11360000,0,2,1,3
1766.0,3,3,1,1,3,3,7,Apartment,Semi-Furnished,Ready to Move,Marathahalli,3.1,9.5,1,1,13200000,0,1,0,7
1114.0,2,2,2,1,4,7,15,Independent House,Semi-Furnished,Under Construction,Hebbal,4.7,15.5,4,1,9660000,1,1,1,3
539.0,2,3,2,1,11,7,10,Apartment,Furnished,Ready to Move,HSR Layout,6.9,5.9,4,2,6540000,0,0,0,2
1125.0,2,3,0,1,12,4,5,Apartment,Semi-Furnished,Ready to Move,Whitefield,6.6,18.5,2,2,9060000,0,1,0,9
627.0,1,1,2,1,0,14,20,Independent House,Semi-Furnished,Ready to Move,HSR Layout,6.2,13.6,5,1,7890000,1,1,0,2
578.0,1,1,1,1,9,2,3,Apartment,Furnished,Ready to Move,Whitefield,5.4,19.0,2,5,4770000,0,0,0,9
621.0,2,2,2,1,5,7,10,Apartment,Unfurnished,Under Construction,Jayanagar,7.2,4.3,2,2,5400000,0,2,1,5
802.0,2,2,3,1,1,9,10,Apartment,Furnished,Under Construction,Yelahanka,2.9,16.8,5,4,4370000,0,0,1,10
1533.0,4,4,2,1,2,1,7,Apartment,Furnished,Ready to Move,Whitefield,3.7,20.0,2,1,14370000,0,0,0,9
567.0,2,2,2,1,0,4,15,Independent House,Furnished,Ready to Move,Koramangala,7.1,1.9,0,1,10640000,1,0,0,6
1399.0,3,4,0,1,3,9,10,Independent House,Semi-Furnished,Ready to Move,Indiranagar,10.0,7.6,2,3,27260000,1,1,0,4
1176.0,3,4,2,1,2,14,15,Apartment,Semi-Furnished,Under Construction,Yelahanka,0.7,19.7,2,3,4810000,0,1,1,10
2135.0,3,4,2,1,3,3,7,Independent House,Semi-Furnished,Ready to Move,Electronic City,1.2,26.2,6,2,14930000,1,1,0,1
917.0,2,3,1,1,6,7,20,Apartment,Unfurnished,Under Construction,Jayanagar,7.0,7.7,2,5,7470000,0,2,1,5
2517.0,4,5,2,1,10,6,7,Apartment,Unfurnished,Under Construction,Whitefield,4.6,17.9,3,2,16530000,0,2,1,9
960.0,3,4,2,1,7,9,10,Apartment,Semi-Furnished,Ready to Move,Koramangala,8.6,1.0,7,2,13410000,0,1,0,6
1787.0,4,4,1,1,9,4,20,Apartment,Semi-Furnished,Ready to Move,Banashankari,3.4,1.0,5,2,13170000,0,1,0,0
968.0,2,2,0,1,16,1,3,Apartment,Unfurnished,Ready to Move,Banashankari,3.1,11.1,3,2,6580000,0,2,0,0
777.0,2,3,2,1,16,5,5,Independent House,Semi-Furnished,Ready to Move,Whitefield,3.9,20.6,2,1,6130000,1,1,0,9
1281.0,3,4,2,1,15,14,25,Independent House,Unfurnished,Ready to Move,Banashankari,6.0,6.7,0,1,10570000,1,2,0,0
526.0,1,1,2,1,1,14,25,Apartment,Semi-Furnished,Under Construction,Marathahalli,2.5,8.2,3,1,2380000,0,1,1,7
1334.0,3,3,2,1,2,14,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,5.2,8.5,5,4,13290000,0,1,0,3
1302.0,2,3,2,1,5,5,10,Villa,Unfurnished,Ready to Move,Indiranagar,7.9,1.0,3,3,23890000,2,2,0,4
1505.0,3,3,2,1,3,2,10,Independent House,Unfurnished,Ready to Move,Jayanagar,4.4,10.3,2,1,17460000,1,2,0,5
2712.875,4,5,0,1,1,4,7,Independent House,Unfurnished,Under Construction,Indiranagar,6.7,6.9,1,2,45840000,1,2,1,4
1551.0,3,4,2,1,2,2,7,Apartment,Unfurnished,Ready to Move,Marathahalli,5.4,10.1,6,1,11020000,0,2,0,7
2245.0,4,4,1,1,24,3,7,Independent House,Semi-Furnished,Under Construction,Koramangala,7.1,8.9,6,3,28550000,1,1,1,6
1376.0,3,4,1,1,3,2,3,Apartment,Furnished,Ready to Move,Whitefield,6.2,17.8,6,1,14160000,0,0,0,9
1310.0,3,4,1,1,4,3,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,3.3,23.0,3,3,8090000,0,1,0,1
2066.0,4,4,1,1,0,2,10,Apartment,Furnished,Under Construction,Sarjapur Road,1.6,19.1,2,0,13810000,0,0,1,8
2462.0,4,4,1,1,10,10,10,Apartment,Furnished,Ready to Move,HSR Layout,7.0,9.7,1,2,34270000,0,0,0,2
1715.0,3,3,1,1,4,4,10,Apartment,Semi-Furnished,Ready to Move,Marathahalli,2.8,13.1,1,5,10760000,0,1,0,7
904.0,2,2,1,1,0,14,20,Apartment,Unfurnished,Under Construction,Banashankari,4.1,8.1,3,5,6010000,0,2,1,0
1614.0,3,4,0,1,24,1,7,Apartment,Furnished,Under Construction,Whitefield,6.0,19.2,4,3,10180000,0,0,1,9
913.0,2,2,1,1,12,5,7,Villa,Semi-Furnished,Ready to Move,Marathahalli,2.1,14.7,2,1,7160000,2,1,0,7
956.0,2,2,2,1,10,10,10,Apartment,Furnished,Ready to Move,Indiranagar,8.0,5.9,5,3,15560000,0,0,0,4
1267.0,3,3,2,1,24,1,5,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.4,10.4,5,3,9540000,0,1,0,3
1927.0,4,4,2,1,4,4,7,Apartment,Furnished,Under Construction,Koramangala,6.2,7.3,3,3,28940000,0,0,1,6
2536.0,4,4,1,1,10,5,10,Independent House,Furnished,Under Construction,Sarjapur Road,3.0,15.5,2,4,17880000,1,0,1,8
967.0,2,3,2,1,1,6,7,Apartment,Furnished,Ready to Move,Hebbal,3.7,13.2,4,2,8930000,0,0,0,3
564.0,1,1,1,1,9,9,20,Apartment,Semi-Furnished,Ready to Move,Yelahanka,2.6,15.0,3,2,2230000,0,1,0,10
1421.0,4,4,0,1,0,3,10,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,4.6,15.4,1,5,10320000,0,1,0,8
891.0,2,2,2,1,1,4,5,Independent House,Furnished,Ready to Move,Jayanagar,5.5,5.2,4,2,13840000,1,0,0,5
1332.0,3,4,2,1,4,4,10,Independent House,Furnished,Under Construction,Marathahalli,1.8,12.0,1,3,10740000,1,0,1,7
458.0,1,1,2,1,0,2,15,Apartment,Semi-Furnished,Under Construction,Hebbal,6.0,14.0,0,2,3550000,0,1,1,3
954.0,2,3,2,1,4,4,10,Apartment,Semi-Furnished,Under Construction,Marathahalli,2.9,13.7,1,3,4940000,0,1,1,7
2559.0,4,5,1,1,5,8,20,Independent House,Semi-Furnished,Ready to Move,Whitefield,7.1,24.1,2,2,23220000,1,1,0,9
965.0,2,3,2,1,7,2,15,Apartment,Unfurnished,Under Construction,Yelahanka,2.4,13.1,4,0,3650000,0,2,1,10
973.0,2,2,2,1,0,3,3,Villa,Unfurnished,Under Construction,Sarjapur Road,3.5,11.4,3,2,6290000,2,2,1,8
768.0,2,3,2,1,1,1,5,Apartment,Unfurnished,Ready to Move,Marathahalli,0.5,15.2,1,1,4880000,0,2,0,7
1840.0,4,5,2,1,7,2,10,Apartment,Furnished,Under Construction,HSR Layout,4.6,15.2,5,2,20640000,0,0,1,2
2030.0,4,5,1,1,8,4,5,Apartment,Semi-Furnished,Ready to Move,Marathahalli,0.6,15.5,3,1,13340000,0,1,0,7
1175.0,2,2,0,1,0,9,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,3.8,19.2,2,5,6520000,0,1,0,1
578.0,1,2,1,1,6,6,15,Villa,Furnished,Under Construction,Marathahalli,3.9,10.9,2,2,5110000,2,0,1,7
1214.0,3,4,0,1,12,9,10,Independent House,Unfurnished,Ready to Move,Whitefield,5.3,26.1,4,5,8980000,1,2,0,9
1025.0,2,2,1,1,0,1,7,Apartment,Unfurnished,Under Construction,Marathahalli,5.2,12.9,5,0,5730000,0,2,1,7
1878.0,3,3,1,1,4,7,10,Independent House,Furnished,Ready to Move,Banashankari,6.1,5.0,7,2,19770000,1,0,0,0
650.0,1,2,3,1,3,2,5,Apartment,Semi-Furnished,Under Construction,Whitefield,4.0,23.6,6,4,3730000,0,1,1,9
1054.0,2,2,2,1,19,10,15,Apartment,Unfurnished,Ready to Move,Banashankari,4.8,7.6,5,1,5950000,0,2,0,0
1603.0,3,4,2,1,1,7,10,Apartment,Furnished,Under Construction,Electronic City,4.2,15.9,0,1,9250000,0,0,1,1
1223.0,2,2,0,1,3,6,10,Independent House,Furnished,Ready to Move,Yelahanka,1.8,22.2,3,1,8530000,1,0,0,10
2430.0,4,4,1,1,18,7,7,Independent House,Furnished,Ready to Move,Hebbal,3.6,13.8,3,3,23470000,1,0,0,3
612.0,1,2,2,1,3,6,15,Villa,Unfurnished,Ready to Move,Jayanagar,9.0,1.5,6,3,7170000,2,2,0,5
1153.0,2,2,0,1,6,3,10,Independent House,Semi-Furnished,Ready to Move,Sarjapur Road,1.0,22.2,2,0,8300000,1,1,0,8
2194.0,4,6,2,1,0,1,3,Villa,Semi-Furnished,Under Construction,Yelahanka,3.8,12.9,2,1,15150000,2,1,1,10
664.0,2,3,3,1,24,14,20,Independent House,Semi-Furnished,Ready to Move,Electronic City,3.8,18.7,2,2,3340000,1,1,0,1
1443.0,3,4,1,1,13,6,15,Villa,Unfurnished,Ready to Move,Electronic City,1.6,19.3,5,2,8200000,2,2,0,1
963.0,2,3,2,1,8,3,10,Independent House,Unfurnished,Ready to Move,Marathahalli,3.0,19.8,5,0,6490000,1,2,0,7
1247.0,3,4,0,1,0,4,7,Apartment,Semi-Furnished,Ready to Move,Hebbal,4.5,18.1,4,2,10210000,0,1,0,3
1631.0,3,3,2,1,0,2,25,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,4.8,16.4,5,3,9420000,0,1,0,8
596.0,2,3,0,1,6,11,15,Apartment,Unfurnished,Under Construction,Hebbal,5.5,17.1,6,4,3850000,0,2,1,3
1786.0,4,4,1,1,2,4,10,Apartment,Furnished,Ready to Move,Indiranagar,8.6,1.0,4,0,35350000,0,0,0,4
1264.0,3,3,2,1,7,9,10,Apartment,Semi-Furnished,Under Construction,Hebbal,5.3,14.7,3,0,10610000,0,1,1,3
639.0,2,2,2,1,7,1,7,Apartment,Semi-Furnished,Under Construction,Koramangala,9.0,8.1,0,2,7060000,0,1,1,6
1818.0,3,4,2,1,14,5,5,Villa,Semi-Furnished,Ready to Move,Jayanagar,7.6,10.5,4,4,27680000,2,1,0,5
1019.0,3,3,1,1,2,2,7,Apartment,Semi-Furnished,Under Construction,Whitefield,6.6,20.2,4,1,6500000,0,1,1,9
838.0,2,2,2,1,6,6,7,Apartment,Semi-Furnished,Under Construction,Electronic City,4.9,23.7,1,3,4600000,0,1,1,1
1122.0,2,3,2,1,12,9,15,Apartment,Unfurnished,Ready to Move,Electronic City,3.4,19.8,5,2,5740000,0,2,0,1
1072.0,2,2,3,1,5,2,5,Independent House,Unfurnished,Under Construction,Electronic City,4.3,22.1,2,3,5320000,1,2,1,1
739.0,2,3,2,1,14,11,15,Apartment,Semi-Furnished,Ready to Move,Sarjapur Road,4.3,17.5,2,3,4200000,0,1,0,8
1591.0,3,4,2,1,1,3,10,Apartment,Furnished,Ready to Move,Electronic City,3.6,21.3,1,1,11350000,0,0,0,1
1481.0,3,3,2,1,10,1,7,Villa,Unfurnished,Ready to Move,Indiranagar,7.4,8.4,4,1,25150000,2,2,0,4
2712.875,4,4,2,1,22,1,7,Villa,Semi-Furnished,Ready to Move,HSR Layout,6.6,10.6,0,1,35970000,2,1,0,2
1026.0,2,3,0,1,3,2,10,Apartment,Unfurnished,Ready to Move,Electronic City,0.2,27.1,4,3,5050000,0,2,0,1
923.0,2,2,1,1,3,2,7,Apartment,Semi-Furnished,Under Construction,HSR Layout,7.9,10.7,3,4,9150000,0,1,1,2
1160.0,3,3,2,1,0,6,7,Apartment,Unfurnished,Ready to Move,Whitefield,4.9,26.6,5,0,8040000,0,2,0,9
1191.0,3,3,2,1,8,13,15,Independent House,Furnished,Ready to Move,Marathahalli,3.8,17.7,3,2,11070000,1,0,0,7
1168.0,3,3,2,1,6,6,10,Apartment,Semi-Furnished,Under Construction,Marathahalli,3.4,13.7,3,0,6030000,0,1,1,7
700.0,1,1,1,1,0,14,15,Apartment,Unfurnished,Ready to Move,Marathahalli,5.0,14.5,2,2,4410000,0,2,0,7
953.0,2,2,0,1,11,11,15,Apartment,Semi-Furnished,Ready to Move,Indiranagar,10.0,2.5,2,1,14150000,0,1,0,4
